run_nr,nr_inputs,chromium_host-firefox_success,chromium_success-firefox_success,chromium_host-firefox_host,chromium_success-firefox_host,chromium_host-firefox_reject,chromium_reject-firefox_host,chromium_success-firefox_path,chromium_path-firefox_path,chromium_host-firefox_path,chromium_password-firefox_password,chromium_reject-firefox_path,chromium_reject-firefox_success,chromium_path-firefox_success,chromium_path-firefox_host,chromium_reject-firefox_username,chromium_reject-firefox_reject,chromium_username-firefox_username,chromium_query-firefox_success,chromium_host-firefox_username,chromium_host-firefox_password
0,1000,41,494,101,293,7,20,6,10,7,1,7,3,6,1,0,0,0,0,0,0
1,2000,71,1020,210,554,12,40,14,16,19,1,16,10,10,1,1.0,0,0,0,0,0
2,3000,98,1550,291,836,18,62,23,19,32,1,25,13,18,1,1.0,1.0,0,0,0,0
3,4000,119,2089,398,1095,23,81,36,22,41,1,32,17,22,1,1.0,2.0,0,0,0,0
4,5000,139,2620,501,1348,26,116,44,28,49,1,40,20,28,2,1.0,2.0,1.0,0,0,0
5,6000,162,3139,597,1617,28,134,53,36,64,1,48,28,32,2,1.0,3.0,1.0,2.0,0,0
6,7000,194,3654,687,1891,31,157,61,43,83,1,54,34,35,3,1.0,4.0,1.0,2.0,0,0
7,8000,219,4193,787,2167,34,173,67,47,90,1,60,37,39,4,1.0,5.0,1.0,2.0,0,0
8,9000,234,4718,870,2440,38,192,80,53,107,1,71,41,46,6,1.0,7.0,1.0,2.0,1.0,0
9,10000,260,5220,969,2706,43,216,85,57,118,1,87,47,55,6,1.0,8.0,1.0,2.0,1.0,0
10,11000,279,5737,1077,2973,46,240,92,65,120,1,94,53,58,7,1.0,11.0,1.0,2.0,1.0,0
11,12000,300,6233,1179,3250,50,259,98,68,130,1,111,58,63,9,1.0,13.0,1.0,2.0,1.0,0
12,13000,323,6762,1286,3490,53,282,105,72,142,1,118,65,70,9,1.0,14.0,1.0,3.0,1.0,0
13,14000,342,7251,1397,3763,58,309,110,81,153,1,130,68,72,9,1.0,14.0,2.0,3.0,1.0,1.0
14,15000,366,7735,1499,4040,69,328,118,84,159,2,137,72,75,9,1.0,15.0,3.0,3.0,1.0,1.0
15,16000,396,8250,1591,4293,73,348,129,92,169,2,145,84,79,9,1.0,16.0,3.0,3.0,1.0,2.0
16,17000,422,8760,1693,4550,78,368,140,94,177,2,157,86,83,9,1.0,18.0,3.0,3.0,2.0,3.0
17,18000,448,9261,1796,4811,84,398,147,96,188,2,169,90,85,9,1.0,18.0,3.0,3.0,2.0,3.0
18,19000,473,9775,1896,5051,89,420,155,103,202,3,179,96,91,9,1.0,19.0,3.0,3.0,2.0,3.0
19,20000,502,10293,1987,5307,97,443,160,104,212,3,188,99,95,9,1.0,19.0,3.0,3.0,2.0,3.0
20,21000,526,10784,2088,5585,102,466,171,107,221,4,198,104,101,9,1.0,20.0,3.0,3.0,2.0,3.0
21,22000,549,11300,2185,5847,104,486,182,110,227,4,203,109,107,10,1.0,20.0,5.0,3.0,2.0,3.0
22,23000,574,11824,2296,6089,106,499,191,112,241,4,216,114,109,10,1.0,22.0,6.0,3.0,2.0,3.0
23,24000,606,12320,2401,6339,108,516,201,118,253,4,225,119,113,11,1.0,23.0,7.0,3.0,2.0,3.0
24,25000,633,12823,2498,6593,113,541,214,123,263,4,235,123,116,11,1.0,23.0,7.0,3.0,2.0,3.0
25,26000,663,13303,2618,6852,119,565,228,130,272,4,245,127,118,11,1.0,23.0,7.0,3.0,2.0,3.0
26,27000,688,13808,2728,7091,128,586,234,134,287,4,252,131,119,11,1.0,24.0,7.0,3.0,2.0,3.0
27,28000,720,14318,2814,7345,132,602,246,139,299,4,262,135,122,13,1.0,24.0,7.0,3.0,2.0,3.0
28,29000,736,14822,2915,7605,138,626,253,144,320,4,269,142,125,13,1.0,24.0,7.0,3.0,2.0,3.0
29,30000,757,15346,3000,7850,146,651,259,151,332,4,271,148,129,14,1.0,25.0,7.0,3.0,2.0,3.0
30,31000,786,15863,3094,8099,149,669,267,156,343,4,278,154,133,14,1.0,26.0,7.0,3.0,2.0,3.0
31,32000,816,16383,3192,8335,154,688,275,158,359,4,285,159,138,14,1.0,28.0,7.0,3.0,2.0,3.0
